ion_charge,period,dataset,topology,lock,rho_A,A_plus,A_minus,p_lock_D,state,D_abs
0,2,nist_pblock_ie1_periods_2to6.csv,two_lobe,locked,0.4662036287743992,0.8602457211827219,-1.845214554516056,0.00205,C,0.36406701003175224
0,3,nist_pblock_ie1_periods_2to6.csv,two_lobe,locked,0.4839688510851615,0.5185534826286416,-1.071460449295309,0.0114355108030157,C,0.34773718365954076
0,4,nist_pblock_ie1_periods_2to6.csv,two_lobe,locked,0.4715965736893415,0.4194698183347378,-0.8894674850014038,0.0011,C,0.3590681276091406
0,5,nist_pblock_ie1_periods_2to6.csv,two_lobe,unlocked,0.2621631951269271,0.155574535430026,-0.5934263020966928,0.1342472840144852,C*,0.5845811442781564
0,6,nist_pblock_ie1_periods_2to6.csv,minus_only,,0.0,0.0,-1.3679951833333337,0.5811,P-,1.0
1,2,nist_pblock_ie2_periods_2to6.csv,plus_only,,,7.518871666666664,0.0,0.16415,P+,1.0
1,3,nist_pblock_ie2_periods_2to6.csv,plus_only,,,5.433861666666669,0.0,0.19495,P+,1.0
1,4,nist_pblock_ie2_periods_2to6.csv,plus_only,,,5.49258666666667,0.0,0.1939,P+,1.0
1,5,nist_pblock_ie2_periods_2to6.csv,plus_only,,,4.330038333333334,0.0,0.20225,P+,1.0
1,6,nist_pblock_ie2_periods_2to6.csv,plus_only,,,6.262985000000002,0.0,0.2038,P+,1.0
2,2,nist_pblock_ie3_periods_2to6.csv,minus_only,,0.0,0.0,-10.723481666666656,0.2426017725702268,P-,1.0
2,3,nist_pblock_ie3_periods_2to6.csv,minus_only,,0.0,0.0,-9.701872333333329,0.2086,P-,1.0
2,4,nist_pblock_ie3_periods_2to6.csv,minus_only,,0.0,0.0,-10.412953333333329,0.2521,P-,1.0
2,5,nist_pblock_ie3_periods_2to6.csv,minus_only,,0.0,0.0,-8.299424999999998,0.2877,P-,1.0
2,6,nist_pblock_ie3_periods_2to6.csv,minus_only,,0.0,0.0,-7.5820833333333315,0.2349,P-,1.0
3,2,nist_pblock_ie4_periods_2to6.csv,two_lobe,unlocked,74.63380759634461,105.85751492843536,-1.418358761768708,0.2984,C*,0.9735567986914803
3,3,nist_pblock_ie4_periods_2to6.csv,two_lobe,unlocked,16.910695503990546,41.51398165581847,-2.454894989151812,0.15275,C*,0.8883348779194871
3,4,nist_pblock_ie4_periods_2to6.csv,two_lobe,unlocked,3.753332896160011,11.868894771669726,-3.1622281050030616,0.18825,C*,0.5792425980482656
3,5,nist_pblock_ie4_periods_2to6.csv,two_lobe,unlocked,4.241851202239826,9.700528772350154,-2.2868621056834764,0.17945,C*,0.618455403857056
3,6,nist_pblock_ie4_periods_2to6.csv,two_lobe,unlocked,1.958118351759344,6.834310497740501,-3.490243831073828,0.4267,C*,0.32389452950369674
